,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
79,3150813,https://www.airbnb.com/rooms/3150813,20240928232601,2024-09-29,city scrape,Modern Urban Oasis in Rino,"This is a converted 2500 square foot modern industrial loft space on a beautiful double 10,000 square foot lot in a great part of town. New places opening daily here. A-line Blake New Mission Ballroom is a short walk!<br /><br /> Super tall ceilings, reclaimed wood floors,   mid-century modern, eclectic, bohemian vibe. It's equipped with an amazing sound system and commercial grade kitchen as well as spacious side yard with a fire pit. Ideal for large groups, reunions, and the like.","Very close to the A-line Blake street stop from the airport. So many hip, new things to do in the neighborhood including the brand new Mission Ballroom which is only blocks away. The house sits in one of the coolest neighborhoods, Rino District, in Denver, close to downtown and a bevy of restaurants, bars, and cultural activities.",https://a0.muscache.com/pictures/44821788/08a62e0d_original.jpg,135470,https://www.airbnb.com/users/show/135470,Mark,2010-05-31,"Denver, CO",I'm a high school teacher in Denver. I teach media and pop culture. ,within an hour,100%,100%,t,https://a0.muscache.com/im/users/135470/profile_pic/1383629496/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/135470/profile_pic/1383629496/original.jpg?aki_policy=profile_x_medium,Cole,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Cole,,39.77101,-104.96639,Entire home,Entire home/apt,14,2.0,2 baths,2.0,3.0,"[""Shampoo"", ""BBQ grill"", ""Smoking allowed"", ""Iron"", ""Fire pit"", ""Long term stays allowed"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Self check-in"", ""Room-darkening shades"", ""Fire extinguisher"", ""Bathtub"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Backyard"", ""First aid kit"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Oven"", ""Pets allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Free street parking"", ""Air conditioning"", ""Refrigerator"", ""Heating"", ""Luggage dropoff allowed"", ""Washer"", ""TV with standard cable"", ""Smart lock"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Patio or balcony"", ""Dishwasher""]",$417.00,1,90,1,2,1125,1125,1.3,1125.0,,t,21,51,81,355,2024-09-29,249,7,0,2014-06-28,2024-06-29,4.9,4.9,4.77,4.95,4.96,4.57,4.68,2017-BFN-0001617,t,1,1,0,0,1.99
86,3479122,https://www.airbnb.com/rooms/3479122,20240928232601,2024-09-29,city scrape,Unique 3-Level Loft in Famous Ballpark Neighborhood,"Bask in the plentiful natural light, thanks to big windows and skylights over tall ceilings in this south- and west-facing space. Exposed brick accents plus countertops, custom bar, and office desk of granite add elegance, along with hardwood floors.",The Paris Hotel building location is listed on the National Register of Historic Places and is only blocks from Coors Field. Drop in at The Lobby and Great Divide Brewery next door before walking to a wide range of fashionable restaurants and cafes.,https://a0.muscache.com/pictures/1d5a21aa-6046-4d92-8513-11ebdbdb9e58.jpg,17524202,https://www.airbnb.com/users/show/17524202,Sam,2014-07-01,"Denver, CO",,within an hour,100%,75%,f,https://a0.muscache.com/im/users/17524202/profile_pic/1443155174/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/17524202/profile_pic/1443155174/original.jpg?aki_policy=profile_x_medium,Five Points,2,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Five Points,,39.75469,-104.98785,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shampoo"", ""BBQ grill"", ""Iron"", ""Long term stays allowed"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Fire extinguisher"", ""Hair dryer"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Backyard"", ""Ethernet connection"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Oven"", ""Dishes and silverware"", ""Free parking on premises"", ""Body soap"", ""Sound system"", ""Bed linens"", ""Air conditioning"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Washer"", ""Luggage dropoff allowed"", ""TV with standard cable, HBO Max, Netflix"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Patio or balcony"", ""Dishwasher""]",$114.00,30,90,30,30,1125,1125,30.0,1125.0,,t,0,0,0,271,2024-09-29,480,0,0,2014-07-06,2020-06-02,4.73,4.88,4.81,4.85,4.85,4.65,4.72,,t,2,2,0,0,3.85
100,4224189,https://www.airbnb.com/rooms/4224189,20240928232601,2024-09-29,city scrape,Cozy Studio In the ❤️ of Denver,"Located in Central Denver, CO only a short distance to Broadway Avenue, Denver Health, every sporting arena, and walking distance to all the food and art galleries down Santa Fe. Easy access to West 6th Ave and I-25.","Santa Fe Arts District features retail and dining within walking distance. First Fridays on Santa Fe is an eclectic social scene where galleries are open until 10 PM. The street is always bustling with street vendors, food trucks, and live music. <br />The salon next door is full of great self-care services.",https://a0.muscache.com/pictures/miso/Hosting-4224189/original/4b9d34ac-07eb-4195-9cc7-d787678880a7.jpeg,11902043,https://www.airbnb.com/users/show/11902043,Lauren,2014-02-03,"Denver, CO","Professional by day and avid adventurer on the side, just living the high life in Colorado. My husband, pup, and I  live in the upstairs studio apartment. We will always be happy to help you with any questions or concerns, even if it is just a place to dine. We love hosting guest and are passionate about sharing our vibrant community. Denver has everything and we are in the ♥️ of it all. For whatever reason your visit, you're welcome to make yourself at home in the quint little studio in the ❤️ of Denver.

-Lauren and Patrick ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/8d354e93-a5a9-46a3-8016-4a48e278e88d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8d354e93-a5a9-46a3-8016-4a48e278e88d.jpg?aki_policy=profile_x_medium,Baker,1,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Baker,,39.72449,-104.99843,Entire townhouse,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Shampoo"", ""Mini fridge"", ""Cleaning products"", ""Cleaning available during stay"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Keypad"", ""Smoke alarm"", ""Hangers"", ""Electric stove"", ""Self check-in"", ""Room-darkening shades"", ""Mountain view"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""First aid kit"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Clothing storage: wardrobe"", ""Oven"", ""Pets allowed"", ""HDTV with Apple TV, standard cable"", ""Dishes and silverware"", ""Noise decibel monitors on property"", ""Freezer"", ""Free parking on premises"", ""Dining table"", ""Bed linens"", ""Laundromat nearby"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Trash compactor"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Baking sheet"", ""Dishwasher""]",$150.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,30,60,90,270,2024-09-29,34,0,0,2017-08-22,2018-04-09,4.85,4.82,5.0,4.94,4.94,4.88,4.71,,t,1,1,0,0,0.39
120,4753876,https://www.airbnb.com/rooms/4753876,20240928232601,2024-09-29,city scrape,RiNo Den,"In the heart of Denver's RiNo Art District and located in the Denver Ballpark Neighborhood.  The best of Denver Entertainment, Dining, Sports, Nightlife and Shopping at your fingertips.  Private access and parking which includes patio.  Note - it is alley access and stairs are quite narrow.",,https://a0.muscache.com/pictures/cdd02bd3-0821-4166-9df0-8dd5e9bd1b17.jpg,24532369,https://www.airbnb.com/users/show/24532369,Ryan & Tina,2014-12-05,"Denver, CO",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/5a424b57-d320-416b-8a04-e11e9d106bfe.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5a424b57-d320-416b-8a04-e11e9d106bfe.jpg?aki_policy=profile_x_medium,Five Points,2,2,"['email', 'phone']",t,t,,Five Points,,39.7574,-104.98677,Entire loft,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Mini fridge"", ""Cleaning products"", ""BBQ grill"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Smoke alarm"", ""Hangers"", ""Self check-in"", ""Ceiling fan"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Fire extinguisher"", ""Stainless steel gas stove"", ""TV"", ""Hair dryer"", ""Essentials"", ""Barbecue utensils"", ""Free washer \u2013 In unit"", ""Books and reading material"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""First aid kit"", ""Outdoor furniture"", ""AC - split type ductless system"", ""Exterior security cameras on property"", ""Oven"", ""Dishes and silverware"", ""Freezer"", ""Dining table"", ""Free street parking"", ""Bed linens"", ""Laundromat nearby"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""City skyline view"", ""Private entrance"", ""Lockbox"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Clothing storage"", ""Portable fans"", ""Baking sheet"", ""Dishwasher""]",$85.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,4,11,27,274,2024-09-29,605,77,3,2016-01-23,2024-09-09,4.85,4.9,4.84,4.91,4.95,4.85,4.81,2017-BFN-0002322,t,1,1,0,0,5.72
129,5364164,https://www.airbnb.com/rooms/5364164,20240928232601,2024-09-29,city scrape,*Monthly Rental* 1-Bedroom 1-Bathroom Condo,"Keep it simple at this peaceful and centrally-located condo right on the Cherry Creek Trail. Close to all amenities including grocery stores, restaurants, bars and parks. Area is safe. Condo is very comfortable with a king sized bed, full bathroom, full kitchen, large couch and 75"" TV. FAST WIFI. Come stay in Colorado!!!",,https://a0.muscache.com/pictures/10c67bec-a58b-4819-8e82-43f94da929bc.jpg,27807630,https://www.airbnb.com/users/show/27807630,Kyle,2015-02-15,"Denver, CO",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/a653abfb-a2da-43d3-b2a0-d79301ef5f38.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a653abfb-a2da-43d3-b2a0-d79301ef5f38.jpg?aki_policy=profile_x_medium,Washington Virginia Vale,1,1,"['email', 'phone']",t,t,,Washington Virginia Vale,,39.69713,-104.92667,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shampoo"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Keypad"", ""Clothing storage: dresser"", ""Smoke alarm"", ""Central heating"", ""Hangers"", ""Electric stove"", ""Self check-in"", ""Ceiling fan"", ""Room-darkening shades"", ""Fire extinguisher"", ""TV"", ""Coffee maker: Keurig coffee machine"", ""Bathtub"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Pool"", ""Paid dryer \u2013 In building"", ""First aid kit"", ""Oven"", ""Dishes and silverware"", ""Freezer"", ""Free parking on premises"", ""Body soap"", ""Dining table"", ""Refrigerator"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Private entrance"", ""Wifi"", ""Carbon monoxide alarm"", ""Hot water"", ""Dishwasher""]",$89.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,14,44,53,319,2024-09-29,4,4,0,2024-03-31,2024-08-02,4.75,4.75,4.5,5.0,4.75,4.75,4.75,,t,1,1,0,0,0.66
135,5558992,https://www.airbnb.com/rooms/5558992,20240928232601,2024-09-29,city scrape,Cozy Carriage Home Sante Fe Style!,"We are a long term rental  FYI <br />This is a perfect space for a light-weight traveler interested in a cute place to come home to each evening, with all the basic conveniences. It's in a very cool urban neighborhood with lots to offer to foodies, creatives, art galleries and adventurers.<br />This studio carriage home is not a shared space and it is completely an independent unit from the main structure. Separate and private entrance. Great work space with Internet speeds over 100 mbps Xfinity service!",https://m.youtube.com/watch?v=P34vFBWYSzg&feature=youtu.be,https://a0.muscache.com/pictures/dd3459b6-e1e7-4795-b42f-9931e7656892.jpg,26125748,https://www.airbnb.com/users/show/26125748,Edwin,2015-01-14,"Denver, CO","We are from Chicago and we enjoy the mild winters in Colorado and all the outdoor activities this state has to offer. Come and experience it yourself.  We enjoy this private coach studio we are sure you will too! 

We love deep dish pizza so we occasionally go back to Chicago to make our frequent favorite pizza stops.

We both love to ride the bicycle!

We are frequent runners and enjoy running in Washington Park. We totally recommend this park.

We are big fans of Renegade Brewery!

We recommend the First Friday of every on month on Sante Fe!

Enjoy yourself and contact us if you have any questions.

Thanks

Edwin ",within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/151c334c-f483-40ac-b9d3-43aaf3871c07.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/151c334c-f483-40ac-b9d3-43aaf3871c07.jpg?aki_policy=profile_x_medium,Lincoln Park,1,4,"['email', 'phone']",t,f,Neighborhood highlights,Lincoln Park,,39.72979,-104.99557,Entire guesthouse,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Shampoo"", ""Cleaning products"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Blender"", ""Smoke alarm"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Fire extinguisher"", ""Shared backyard \u2013 Fully fenced"", ""TV"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Free driveway parking on premises \u2013 1 space"", ""Hot plate Nuwave induction stove"", ""First aid kit"", ""Outdoor furniture"", ""AC - split type ductless system"", ""Hammock"", ""Dishes and silverware"", ""Freezer"", ""Dining table"", ""Fast wifi \u2013 233 Mbps"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Private patio or balcony"", ""City skyline view"", ""Single level home"", ""Private entrance"", ""BBQ grill: charcoal"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Portable fans""]",$65.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,0,27,57,332,2024-09-29,160,1,0,2016-08-07,2024-05-31,4.83,4.87,4.77,4.9,4.92,4.85,4.82,2019-BFN-0001582,t,1,1,0,0,1.61
157,6678066,https://www.airbnb.com/rooms/6678066,20240928232601,2024-09-29,city scrape,Modern Townhouse in Downtown with Private Balcony,"Experience the best of urban living in our contemporary two-story townhouse, nestled in the historic Five Points neighborhood of Denver. Our spacious 1365 sq. ft home boasts a private balcony with city views, providing the ideal spot to unwind and relax.<br /><br />Our location is unbeatable, with many restaurants, bars, Coors Field, and Denver Performing Arts Center just blocks away. You'll also be within easy reach of the Denver Zoo, Museum of Nature and Science in City Park & Botanic Gardens.",I am in one of the most popular historic neighborhoods in Denver. Dozens of restaurants and bars within blocks. 15 minute walk to Coors field or downtown. Grocery store and liquor store one block away.,https://a0.muscache.com/pictures/00f4191b-6891-4638-909c-d3c05e4e1d72.jpg,23183224,https://www.airbnb.com/users/show/23183224,James & Alli,2014-10-31,"Denver, CO","I love travel, great food, adventures and meeting new people.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/55a4e405-b4d6-4fcb-a74f-391ef26b0856.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/55a4e405-b4d6-4fcb-a74f-391ef26b0856.jpg?aki_policy=profile_x_medium,Five Points,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Five Points,,39.75021,-104.97909,Entire townhouse,Entire home/apt,6,2.5,2.5 baths,2.0,2.0,"[""Shampoo"", ""Cleaning products"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Shower gel"", ""Ceiling fan"", ""Fire extinguisher"", ""Bathtub"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Whirlpool  refrigerator"", ""Free washer \u2013 In unit"", ""Books and reading material"", ""Drying rack for clothing"", ""Microwave"", ""HDTV with premium cable, standard cable"", ""Kitchen"", ""Cooking basics"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Clothing storage: closet and dresser"", ""Fast wifi \u2013 205 Mbps"", ""Whirlpool stainless steel gas stove"", ""Dishes and silverware"", ""Freezer"", ""Whirlpool stainless steel oven"", ""Hot water kettle"", ""Body soap"", ""Dining table"", ""Free street parking"", ""Bed linens"", ""Conditioner"", ""Extra pillows and blankets"", ""Heating"", ""Private patio or balcony"", ""Central air conditioning"", ""City skyline view"", ""Host greets you"", ""Private entrance"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Portable fans"", ""Baking sheet"", ""Dishwasher"", ""Board games""]",$285.00,2,17,2,2,1125,1125,2.0,1125.0,,t,15,33,60,240,2024-09-29,242,22,3,2015-06-22,2024-09-22,4.98,4.98,4.99,4.99,5.0,4.77,4.85,2017-BFN-0002422,t,1,1,0,0,2.14
170,7228382,https://www.airbnb.com/rooms/7228382,20240928232601,2024-09-29,city scrape,Hotel Residential of Denver [Suite #1],"Welcome to Hotel Residential of Denver.<br /><br />Denver's most Central Location for everything downtown. Designed for both business & leisure travel. <br /><br />Bachelor(ette) Parties - Friends/Family Trips - Sports Trips - Convention Goers - Company Retreats - Hospitality Suite<br /><br />Surround yourself with Denver's best bars, restaurants, breweries, nightlife, music venues, and sporting events. Take a short walk to the Colorado Convention Center or visit Coors Field just 2 blocks away.<br /><br />We'd love to have you!",Local Attractions...<br /><br />→ Coors Field (Rockies Baseball) → 2 blocks away <br />→ Ball Arena (Nuggets Basketball) → Less than 1 mile away<br />→ Empower Field at Mile High (Broncos Football) → 2 miles away<br />→ Colorado Convention Center → Less than 1 mile away<br />→ Red Rocks Amphitheater → 20 miles away<br />→ Denver Union Station → 0.5 miles away<br />→ 22 miles away → Denver International Airport<br /><br />Convenience within 1 block of your doorstep...<br /><br />→ Hotel Residential (In Unit Snack/Beverage Vending)<br />→ Max's Market (Grocery Store)<br />→ Brother's (Convenience Store)<br />→ Mr. B's (Liquor Store)<br />→ The Dab (Public Dispensary)<br />→ Frank's Gentlemen's Salon (Barbershop)<br /><br />Ski Towns:<br />→ Loveland - 55 min<br />→ Copper Mountain - 1 hr 30 min<br />→ Breckenridge - 1hr 45 min<br />→ Vail - 1hr 55 min<br />→ Keystone - 1hr 55 min<br />→ Beaver Creek - 2 hrs,https://a0.muscache.com/pictures/prohost-api/Hosting-7228382/original/d60f330a-89cd-486e-9432-fdb39f3b375a.jpeg,7304490,https://www.airbnb.com/users/show/7304490,Hotel Residential,2013-07-05,"Denver, CO","Hotel Residential is an independently owned and operated boutique hotel in the heart of Downtown Denver. Our mission is to bridge the gap between traditional hotels and short term rentals by offering guests an option of [2] modern, large format suites unlike any other. Standards of cleanliness and safety have been set and are meticulously maintained. Partnerships with local bars, restaurants, breweries, and gyms offer a variety of experiences unique to each group. We hope this blending of place and experience is a welcomed retreat for both business and leisure travelers alike.

Hotel Residential is independently owned and operated by Jonathan & Kelly Van Sistine.
",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/44ab8bfa-9eb8-4841-82bf-4ed56f051ac1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/44ab8bfa-9eb8-4841-82bf-4ed56f051ac1.jpg?aki_policy=profile_x_medium,Five Points,3,4,['phone'],t,t,Neighborhood highlights,Five Points,,39.7542399,-104.9913709,Entire condo,Entire home/apt,14,2.0,2 baths,5.0,9.0,"[""Mini fridge"", ""Cleaning products"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Blender"", ""Citrus + Aloe shampoo"", ""Smoke alarm"", ""Hangers"", ""Central heating"", ""Samsung refrigerator"", ""Samsung stainless steel oven"", ""Sonos sound system with Bluetooth and aux"", ""Pool table"", ""Ceiling fan"", ""Shower gel"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee maker: espresso machine"", ""Window guards"", ""Citrus + Aloe conditioner"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Ethernet connection"", ""Citrus + Aloe body soap"", ""86 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, premium cable"", ""First aid kit"", ""Outdoor furniture"", ""Self check-in"", ""Exterior security cameras on property"", ""Hammock"", ""Dishes and silverware"", ""Freezer"", ""Dining table"", ""Free street parking"", ""Bed linens"", ""Bidet"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Samsung stainless steel electric stove"", ""Private patio or balcony"", ""Central air conditioning"", ""City skyline view"", ""Paid parking lot off premises"", ""Private entrance"", ""Smart lock"", ""Wifi"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Hot water"", ""Free residential garage on premises \u2013 1 space"", ""Clothing storage"", ""Baking sheet"", ""Dishwasher""]","$1,299.00",2,28,1,2,28,28,1.7,28.0,,t,17,36,63,326,2024-09-29,147,9,0,2015-08-09,2024-07-21,4.96,4.96,4.9,4.99,4.99,4.92,4.73,2020-BFN-0005872,t,3,3,0,0,1.32
184,7948813,https://www.airbnb.com/rooms/7948813,20240928232601,2024-09-29,city scrape,Comfy house 2 miles from downtown,"House has large kitchen, and great outdoor space with garden, grill, outdoor eating and lounge areas, pergola. Netflix / HBO / Hulu /Apple Tv+ Located 2 blocks from beautiful Sloan's Lake and 2 miles from downtown Denver. Walking distance to many restaurants on 32nd Ave and close to hip Tennyson district. Free street parking. Safe and quiet neighborhood. 2 miles from Empower field and Ball Arena.",2 blocks from Sloan's Lake with tennis and basketball courts. Tennyson shops and 32nd St. shops a few blocks away.,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzk0ODgxMw%3D%3D/original/f4ca05c2-2d48-46db-82bd-1c66d9ba0cda.jpeg,41917396,https://www.airbnb.com/users/show/41917396,L. Daniel,2015-08-19,"Denver, CO","I live in Denver. I like cooking, climbing and biking around town, gardening, and growing things in my greenhouse. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/41917396/profile_pic/1440172480/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/41917396/profile_pic/1440172480/original.jpg?aki_policy=profile_x_medium,Sloane Lake,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Sloan Lake,,39.7561,-105.04096,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Shampoo"", ""Cleaning products"", ""BBQ grill"", ""Toaster"", ""Iron"", ""Fire pit"", ""Wine glasses"", ""Keypad"", ""Private backyard \u2013 Fully fenced"", ""Blender"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Self check-in"", ""HDTV with Amazon Prime Video, Apple TV, HBO Max, Hulu, Netflix"", ""Outdoor dining area"", ""Shower gel"", ""Room-darkening shades"", ""Fire extinguisher"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Barbecue utensils"", ""Free washer \u2013 In unit"", ""Books and reading material"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""First aid kit"", ""Rice maker"", ""Outdoor furniture"", ""Oven"", ""Bluetooth sound system"", ""Dishes and silverware"", ""Freezer"", ""Hot water kettle"", ""Free parking on premises"", ""Body soap"", ""Dining table"", ""Free street parking"", ""Bed linens"", ""Conditioner"", ""Air conditioning"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Laundromat nearby"", ""Private patio or balcony"", ""Single level home"", ""Private entrance"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Clothing storage"", ""Baking sheet"", ""Dishwasher"", ""Board games""]",$143.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,6,8,12,15,2024-09-29,325,40,3,2015-09-03,2024-09-22,4.86,4.9,4.68,4.98,4.91,4.95,4.89,2016-BFN-0008285,t,1,1,0,0,2.94
194,8366762,https://www.airbnb.com/rooms/8366762,20240928232601,2024-09-29,city scrape,Capitol Hill Studio- 30 Night Minimum,"Spacious end unit studio in great location!<br /><br />***30 night minimum booking***<br /><br />Walking distance to restaurants, bars, concert venues and Colorado convention center.<br /><br />56"" TV, Local Channels, Wifi, Netflix.<br /><br />Desk & Workstation with 22"" monitor.<br /><br />Bicycle and lock Provided.","Next to colorful Colfax Ave.<br />Close to the Colorado Convention Center (one mile)<br />Steps away from breweries, restaurants, concert venues and parks.",https://a0.muscache.com/pictures/db8d1457-8b4b-410f-8617-7322fc7a3dce.jpg,9153888,https://www.airbnb.com/users/show/9153888,Brian,2013-09-30,,"We are Hotel and Travel Professionals who split time between Colorado and Mexico.

We recently built a brand new property in Sayulita, Mexico and have a couple more projects on the way.

We look forward to welcoming you! ",within an hour,90%,93%,f,https://a0.muscache.com/im/users/9153888/profile_pic/1442182085/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9153888/profile_pic/1442182085/original.jpg?aki_policy=profile_x_medium,Capitol Hill,2,3,['phone'],t,t,Neighborhood highlights,Capitol Hill,,39.73786,-104.97922,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cleaning products"", ""BBQ grill"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Self check-in"", ""Children\u2019s dinnerware"", ""47 inch HDTV with Amazon Prime Video, Chromecast"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Outdoor dining area"", ""Hair dryer"", ""Essentials"", ""Free washer \u2013 In unit"", ""Fast wifi \u2013 642 Mbps"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Backyard"", ""First aid kit"", ""Outdoor furniture"", ""Oven"", ""Dishes and silverware"", ""Free street parking"", ""Frigidaire stainless steel gas stove"", ""Refrigerator"", ""Heating"", ""Private patio or balcony"", ""Smart lock"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Dishwasher""]",$62.00,29,1000,29,29,1125,1125,29.0,1125.0,,t,0,25,55,158,2024-09-29,147,3,0,2015-10-04,2024-04-08,4.6,4.74,4.77,4.89,4.85,4.31,4.57,,t,1,1,0,0,1.34
